NR_ANO_ELEICAO;CD_PAIS;NM_PAIS;SG_REGIAO;NM_REGIAO;SG_UF;NM_UF;CD_MUNICIPIO;NM_MUNICIPIO;QTD_ELEITORES;QTD_ELEITORES_FEMININO;QTD_ELEITORES_MASCULINO;QTD_ELEITORES_NAOINFORMADO;QTD_ELEITORES_MENOR16;QTD_ELEITORES_16;QTD_ELEITORES_17;QTD_ELEITORES_18;QTD_ELEITORES_19;QTD_ELEITORES_20;QTD_ELEITORES_21A24;QTD_ELEITORES_25A29;QTD_ELEITORES_30A34;QTD_ELEITORES_35A39;QTD_ELEITORES_40A44;QTD_ELEITORES_45A49;QTD_ELEITORES_50A54;QTD_ELEITORES_55A59;QTD_ELEITORES_60A64;QTD_ELEITORES_65A69;QTD_ELEITORES_70A74;QTD_ELEITORES_75A79;QTD_ELEITORES_80A84;QTD_ELEITORES_85A89;QTD_ELEITORES_90A94;QTD_ELEITORES_95A99;QTD_ELEITORES_MAIORIGUAL100;QTD_ELEITORES_IDADEINVALIDO;QTD_ELEITORES_IDADENAOSEAPLICA;QTD_ELEITORES_IDADENAOINFORMADA;QTD_ELEITORES_COMBIOMETRIA;QTD_ELEITORES_SEMBIOMETRIA;QTD_ELEITORES_DEFICIENTE;QUANTITATIVO_NOMESOCIAL
2020;1;Brasil;N;Norte;AC;Acre;1120;ACRELÂNDIA;9169;4502;4667;0;0;22;85;115;173;255;934;1080;971;1082;962;761;700;610;493;367;272;152;83;41;10;1;0;0;0;0;9101;68;39;0
2020;1;Brasil;N;Norte;AC;Acre;1570;ASSIS BRASIL;5913;2993;2920;0;0;21;50;84;122;151;608;775;742;682;614;508;392;324;261;199;168;104;54;34;15;4;1;0;0;0;5862;51;16;0
2020;1;Brasil;N;Norte;AC;Acre;1058;BRASILÉIA;16844;8653;8191;0;0;32;126;233;393;434;1789;2069;1936;1841;1723;1471;1317;1048;791;658;467;261;148;73;22;5;7;0;0;0;16638;206;126;0
2020;1;Brasil;N;Norte;AC;Acre;1007;BUJARI;9613;4736;4877;0;0;34;106;162;217;256;1085;1101;1054;1042;1074;824;711;592;471;393;221;150;80;23;13;4;0;0;0;0;9576;37;25;0
2020;1;Brasil;N;Norte;AC;Acre;1015;CAPIXABA;7540;3707;3833;0;0;18;102;158;214;218;877;866;779;740;685;696;599;520;404;289;186;108;60;8;11;2;0;0;0;0;7476;64;86;0
2020;1;Brasil;N;Norte;AC;Acre;1074;CRUZEIRO DO SUL;55749;29177;26572;0;0;183;527;1120;1581;1677;6935;7011;6497;6655;5757;4467;3453;2686;2198;1802;1293;923;576;240;116;44;8;0;0;0;55502;247;139;1
2020;1;Brasil;N;Norte;AC;Acre;1112;EPITACIOLÂNDIA;11732;6097;5635;0;0;32;102;186;249;329;1215;1394;1346;1255;1160;1049;890;752;602;448;319;206;123;45;21;5;3;1;0;0;11623;109;97;0
2020;1;Brasil;N;Norte;AC;Acre;1139;FEIJÓ;21561;10698;10863;0;0;53;301;526;621;720;2627;2757;2360;2274;2083;1627;1404;1039;905;644;571;394;283;173;115;70;11;3;0;0;19463;2098;152;2
2020;1;Brasil;N;Norte;AC;Acre;1104;JORDÃO;5209;2418;2791;0;0;11;112;179;172;191;790;752;630;544;464;371;259;194;155;111;83;55;40;25;39;20;12;0;0;0;4726;483;9;0
2020;1;Brasil;N;Norte;AC;Acre;1554;MANOEL URBANO;7209;3484;3725;0;0;28;90;140;178;215;824;941;816;841;723;564;417;346;337;233;148;112;100;75;48;29;3;1;0;0;6451;758;29;0
